,cycle,ambient_temperature,datetime,sense_current,battery_current,battery_impedance,rectified_impedance,Re,Rct
0,1,24,2008-04-18 20:55:29,(641.7734375-13.882658004760742j),(516.898681640625-104.69268798828125j),(0.003340930844086225-0.3359955219854591j),(0.07994738304328833-0.0008659307828382606j),0.06123359021000344,0.0785415394665875
1,2,24,2008-04-18 22:39:16,(-1+1j),(-1+1j),(0.5022858662719889-1.3475676234626137j),(0.10233117265908057-0.004575257369873965j),0.06561684946388616,0.0886832084583472
2,3,24,2008-04-19 02:14:27,(649.273681640625-23.115520477294922j),(508.4493713378906-93.80135345458984j),(0.11346865221974725-0.2794541635871317j),(0.07713539390276401-0.0008479617952507979j),0.06062991544979002,0.07802409378290423
3,4,24,2008-04-19 03:57:24,(-1+1j),(-1+1j),(-0.10927724668599424+0.5300957901068637j),(0.08684076480920194-0.0017574248486304925j),0.0626250732462495,0.08533725531470857
4,5,24,2008-04-19 07:32:33,(679.4708862304688-24.892303466796875j),(478.5778503417969-94.72920227050781j),(0.19333964653457175-0.005274304505698195j),(0.07983107826384495-0.0010455661154426586j),0.0608598716542857,0.07840240203025303
5,6,24,2008-04-19 09:15:10,(488.7476501464844+6.812221527099609j),(552.9928588867188-95.1485595703125j),(0.6094418710394165-0.28932151378551046j),(0.08698465407600253-0.0020044568215524454j),0.062249571082343746,0.08440849663820382
6,7,24,2008-04-19 12:47:00,(674.7615966796875-23.33420181274414j),(483.42584228515625-95.76761627197266j),(0.20937219172236124-0.04245169302819323j),(0.07846477639077289-0.0008259542384026222j),0.06006450818180178,0.07807093382204865
7,8,24,2008-04-19 14:28:58,(790.3579711914062-20.793601989746094j),(369.5591125488281-96.88439178466797j),(0.1002926678847015-0.11277185495747359j),(0.08636771207295164-0.0021703313727183034j),0.062201023860373954,0.08437084638397113
8,9,24,2008-04-19 18:12:47,(859.8346557617188-20.946229934692383j),(293.62322998046875-97.49604797363281j),(0.1232365060515027-0.1138080947022085j),(0.07904685871923949-0.0007557597404633238j),0.05913130853407464,0.07795570757873038
9,10,24,2008-04-19 19:55:05,(-1+1j),(-1+1j),(-0.10482790732963289+0.5454004496387715j),(0.08261031578970127-0.0021122235565791203j),0.06207350175489952,0.0838418603746595
10,11,24,2008-04-19 23:27:13,(676.2839965820312-26.669254302978516j),(481.6347351074219-91.34623718261719j),(0.202731301723326-0.025987646747325403j),(0.0796011248392434-0.0008465926208333534j),0.06059698754511872,0.07938182566133384
11,12,24,2008-04-20 01:08:11,(-1+1j),(-1+1j),(-0.08719572627561992+0.5610583684146215j),(0.08218344485486388-0.002195314796861064j),0.06200595535926761,0.08243346882486241
12,13,24,2008-04-20 04:39:59,(615.1261596679688-21.5067195892334j),(531.7080078125-95.19889068603516j),(-0.31485366985217966-0.252346435988033j),(0.08125810684606612-0.0011443674146026542j),0.0604355089729667,0.07949409294266127
13,14,24,2008-04-20 06:20:57,(-1+1j),(-1+1j),(-0.10925037336607875+0.5379961605858692j),(0.08506476064863325-0.0018899834958016237j),0.06251817310661875,0.08413790663872997
14,15,24,2008-04-20 10:01:46,(672.1262817382812-22.218839645385742j),(486.5802917480469-96.60438537597656j),(0.21149989586159018-0.06765262647652422j),(0.08045234664194832-0.0009519006441810657j),0.0598822703747387,0.07871218357298479
15,16,24,2008-04-20 11:42:26,(-1+1j),(-1+1j),(-0.09232704510750583+0.5584388322605084j),(0.08272022646845892-0.001758800009645891j),0.060953270532872306,0.08269288603896705
16,17,24,2008-04-20 15:22:22,(666.67431640625-26.044538497924805j),(493.23931884765625-91.34477996826172j),(0.20946836239882835-0.1219824153785356j),(0.08175009774396912-0.0005075833810675621j),0.06058721482266893,0.07989533922911993
17,18,24,2008-04-20 17:03:01,(-1+1j),(-1+1j),(-0.08594758071573268+0.5627168219520425j),(0.0809154023178191-0.0006958834239189544j),0.06236564071812447,0.08389054593182355
18,19,24,2008-04-20 20:35:56,(603.3907470703125-22.183269500732422j),(536.56884765625-92.1371078491211j),(-0.4133483806370146-0.12272836715306053j),(0.08235914774748376-0.0006015527589640336j),0.06090836519034555,0.0797490751361702
19,20,24,2008-04-20 22:16:35,(-1+1j),(-1+1j),(-0.09402968035233822+0.5564283933673051j),(0.08296528203450254-0.0015021365881894377j),0.0623876560738503,0.08427447476572261
20,21,24,2008-04-21 02:00:19,(829.4824829101562-22.015413284301758j),(327.3974304199219-96.32315826416016j),(0.15787229947660972-0.12490054348566945j),(0.08075202036873841-0.0015705340526868167j),0.060369152473069135,0.08014506815871338
21,22,24,2008-04-21 03:26:58,(843.6527099609375-20.657026290893555j),(221.7362060546875-85.25179290771484j),(0.20331119388070107+0.008012448421833867j),(0.08259302784987087-0.0016811937322737769j),0.06209144685667864,0.08164302964777198
22,23,24,2008-04-22 16:33:03,(817.9727172851562-18.308778762817383j),(340.772216796875-100.39935302734375j),(0.15013667288715962-0.12230344203173256j),(0.08346715456919569-0.0013987077620562453j),0.06356536156604609,0.08150834385680611
23,24,24,2008-04-22 19:54:32,(815.4324951171875-23.980039596557617j),(344.02056884765625-95.48750305175781j),(0.14631240071904128-0.12521870556432507j),(0.08181131418166254-0.001156423412306339j),0.06232003183337441,0.08021169162372531
24,25,24,2008-04-22 21:24:34,(818.7490844726562-20.721250534057617j),(341.8447570800781-98.79534912109375j),(0.14977727359503992-0.12300185289764544j),(0.08399895314782041-0.001946761935009821j),0.06294168193775251,0.08199172562670037
25,26,24,2008-04-23 00:46:24,(816.7530517578125-23.102188110351562j),(344.65496826171875-95.66516876220703j),(0.14417971529090592-0.12374206919850902j),(0.08241677359244744-0.0007447944763733165j),0.06189122330035962,0.08120805787615462
26,27,24,2008-04-23 02:16:08,(817.3797607421875-20.052255630493164j),(341.3155212402344-99.75857543945312j),(0.1489415395055836-0.12282763912425537j),(0.08351786926706835-0.0013484735383267018j),0.0628654066217946,0.08144682676052387
27,28,24,2008-04-23 05:46:32,(817.3143310546875-21.147319793701172j),(340.1733703613281-95.06617736816406j),(0.14915436358906828-0.12455562371892256j),(0.08205297012602465-0.0010111027433926327j),0.06171642129064926,0.08150165216580176
28,29,24,2008-04-23 07:16:07,(815.8146362304688-18.875551223754883j),(340.9219665527344-98.99437713623047j),(0.1500094667445364-0.12307651499832684j),(0.08353474291415634-0.0019069220831709711j),0.06291524637705144,0.08277116642147596
29,30,24,2008-04-23 10:36:13,(816.2067260742188-23.29108238220215j),(342.4462585449219-97.16349029541016j),(0.14651530015728312-0.1246793296600724j),(0.08201974520598902-0.0008232690540488648j),0.06199878481176484,0.08138761044036787
30,31,24,2008-04-23 12:05:30,(820.8777465820312-20.298030853271484j),(338.1631164550781-98.89730834960938j),(0.15537044650979678-0.12313867550155992j),(0.08284339861828284-0.0015345418874579669j),0.06307762333013402,0.08287146905081498
31,32,24,2008-04-23 15:34:37,(817.3434448242188-21.931774139404297j),(341.11688232421875-96.39926147460938j),(0.14962736966749507-0.12474541087893609j),(0.08071299287289234-0.0011129606426696138j),0.06250406054880163,0.08169124692338582
32,33,24,2008-04-23 17:03:55,(820.4214477539062-21.709325790405273j),(338.54400634765625-97.63470458984375j),(0.15526636406675984-0.12418780546671448j),(0.08418999666114685-0.0006644284995279267j),0.0627995855607608,0.0818468337271938
33,34,24,2008-04-23 20:31:10,(816.5023803710938-22.823701858520508j),(341.85308837890625-96.13765716552734j),(0.14817009281588697-0.12470269697255709j),(0.08177085083622354-0.0007410184901208063j),0.06201388686472383,0.08131610081343171
34,35,24,2008-04-23 22:00:19,(820.0641479492188-20.5341739654541j),(340.0405578613281-98.67606353759766j),(0.15292500964832906-0.1234377508746537j),(0.08308423516438176-0.0015475056762934624j),0.06308360062643197,0.08264257683503572
35,36,24,2008-04-24 01:19:46,(816.4780883789062-22.387123107910156j),(341.3003234863281-96.33868408203125j),(0.14991638970999227-0.12484504181451966j),(0.08144832564742172-0.0012905149603982184j),0.06183019217410585,0.08120435160553863
36,37,24,2008-04-24 02:48:35,(821.1205444335938-22.072595596313477j),(337.80511474609375-96.62081909179688j),(0.15481911460570827-0.1250983364035355j),(0.08576423198753612-0.0017385581199527169j),0.06313290641362876,0.0837217579093773
37,38,24,2008-04-24 06:18:12,(820.2736206054688-24.210317611694336j),(339.4704895019531-93.45246887207031j),(0.15207200309783003-0.12630213674726498j),(0.08347868130429294-0.0011774248422068531j),0.06282694657880761,0.08347157844651079
38,39,24,2008-04-24 07:46:53,(821.566162109375-19.17656707763672j),(338.7348937988281-99.62570190429688j),(0.15363067696148278-0.12367716519066434j),(0.08466530914390184-0.0014805016680931983j),0.06336352421336121,0.0837975537463188
39,40,24,2008-04-24 11:17:36,(818.8489379882812-24.24108123779297j),(340.6781311035156-95.26219177246094j),(0.15140939794024613-0.12611424286528947j),(0.08512803122486814-0.0008726848672724024j),0.06349817571333986,0.08385488671663242
40,41,24,2008-04-24 12:46:08,(820.98388671875-21.650726318359375j),(338.6245422363281-96.0376205444336j),(0.1541062794526192-0.12472141701104308j),(0.08520721608281188-0.0019237841602939509j),0.06264078681571249,0.08299028292337617
41,42,24,2008-04-24 16:14:07,(817.5447387695312-21.824771881103516j),(340.1282958984375-96.55448913574219j),(0.15140824100649597-0.12447643316374364j),(0.08390366649764529-0.0011252468110093672j),0.060945139936148515,0.082015904986437
42,43,24,2008-04-24 17:42:40,(821.0191040039062-20.353782653808594j),(336.6470947265625-99.4298095703125j),(0.1567757354798821-0.12390978364457532j),(0.08575640368926965-0.0014624611850644978j),0.06395085325023771,0.0832684036551876
43,44,24,2008-04-24 21:06:22,(819.5079345703125-22.985910415649414j),(339.9727783203125-94.50122833251953j),(0.15099947150788678-0.12495266129959912j),(0.08303076893602272-0.001934490226840963j),0.0639175801612165,0.08216571708748939
44,45,24,2008-04-24 22:34:45,(818.9766845703125-21.491003036499023j),(339.63653564453125-97.16708374023438j),(0.1515649362584486-0.12391136869037968j),(0.08327087501345538-0.001056635470860212j),0.061914442984428886,0.0827944269463386
45,46,24,2008-04-25 01:57:07,(818.6756591796875-21.006134033203125j),(339.97210693359375-98.06752014160156j),(0.1504261425349055-0.1236072913004723j),(0.08287101844952503-0.0013166884904753143j),0.06223664045181756,0.08227519539898062
46,47,24,2008-04-25 21:00:31,(824.429443359375-22.32319450378418j),(335.3522644042969-95.91517639160156j),(0.1570425964573395-0.12419910834794418j),(0.08478742080342001-0.0019497504405478054j),0.06368589032225634,0.08410980261203092
47,48,24,2008-04-26 00:32:46,(816.9349365234375-24.19561195373535j),(341.82061767578125-95.55610656738281j),(0.14944880781756512-0.12589994418150285j),(0.08217456439280334-0.0014341629531263256j),0.06203106446308808,0.08319177703888532
48,49,24,2008-04-26 02:00:52,(822.6351928710938-20.34244155883789j),(335.52008056640625-98.5777816772461j),(0.155918882012364-0.1229090296472755j),(0.08479720268492351-0.0016499473536696432j),0.06394139531038306,0.08439590554803003
49,50,24,2008-04-26 05:25:46,(820.4100952148438-21.838132858276367j),(340.43609619140625-95.56675720214844j),(0.1540717667082252-0.1254282029991169j),(0.08510556350938418-0.0012117000138587488j),0.06250649038034015,0.08426848073493345
